국문역명,영문역명,전산역명,전산약어,XROIS역코드,KROIS역코드,역키로정,매표단말코드,주소,노선,위도,경도,폐역여부
1동대,Dongdaemun (Seoul Metro 1),1동대,1동대,3900741,900046,900046,,서울특별시 종로구 종로 지하 302,서울 지하철 1호선,37.57170678235766,127.0107962552198,아니오
1양원,Yangwon (Jungang Line),1양원,1양원,3900117,020063,020063,,서울특별시 중랑구 송림길 147,중앙선,37.6065544663506,127.107921347523,아니오
1양정,Yangjeong (Jungang Line),1양정,1양정,3900121,020149,020149,,경기도 남양주시 경강로 237,중앙선,37.6040108572137,127.194607068387,아니오
1종로3가,Jongro 3(sam)-ga (Seoul Metro 1),1종로3가,1종로,3900739,900029,900029,,서울특별시 종로구 종로 지하 129,서울 지하철 1호선,37.570426166069,126.992029489692,아니오
1지청량리,Cheongnyangni (Seoul Metro 1),1지청량리,1지청,3900745,900078,900078,,서울특별시 동대문구 왕산로 지하 205,서울 지하철 1호선,37.58004651909485,127.04472100931218,아니오
1평택지제,PyeongtaekJije,1평택지제,평지제,3900056,010713,010713,,경기도 평택시 경기대로 777,경부선,37.0188066765225,127.070444142624,아니오
2교대,Seoul Nat't Univ. of Edu. (Seoul Metro 2),2교대,2교대,3900762,910198,910198,,서울특별시 서초구 서초대로 294,서울 지하철 2호선,37.4935774354341,127.014155713304,아니오
2동운동장,Dongdaemun History & Culture Park (Seoul Metro 2),2동운동장,2동운,3900787,910487,910487,,서울특별시 중구 을지로 지하 279,서울 지하철 2호선,37.565589505457,127.009131489332,아니오
2봉천,Bongcheon (Seoul Metro 2),2봉천,2봉천,3900768,910275,910275,,서울특별시 관악구 남부순환로 지하 1721,서울 지하철 2호선,37.4825560782476,126.941495530723,아니오
2사당,Sadang (Seoul Metro 2),2사당,2사당,3900765,910238,910238,,서울특별시 동작구 동작대로 지하 3,서울 지하철 2호선,37.4768630448883,126.981595338179,아니오
2삼성,Samseong (Seoul Metro 2),2삼성,2삼성,3900758,910153,910153,,서울특별시 강남구 테헤란로 지하 538,서울 지하철 2호선,37.5088617483802,127.063072785896,아니오
2선릉,Seolleung (Seoul Metro 2),2선릉,2선릉,3900759,910166,910166,,서울특별시 강남구 테헤란로 지하 340,서울 지하철 2호선,37.5045024847264,127.048942153468,아니오
2시청,Seoul City Hall (Seoul Metro 2),2시청,2시청,3900783,910456,910456,,서울특별시 중구 서소문로 지하 127,서울 지하철 2호선,37.5635797730057,126.975389446475,아니오
2신도림,Sindorim (Seoul Metro 2),2신도림,2신도,3900773,910344,910344,,서울특별시 구로구 새말로 지하 117-21,서울 지하철 2호선,37.5087696730023,126.891080172222,아니오
2신림,Sillim (Seoul Metro 2),2신림,2신림,3900769,910286,910286,,서울특별시 관악구 남부순환로 지하 1614,서울 지하철 2호선,37.4842150540518,126.9298017842,아니오
2신설,Sinseoldong (Seoul Metro 2),2신설,2신설,3900747,910000,910000,,서울특별시 동대문구 왕산로 지하 1,서울 지하철 2호선,37.5753201746569,127.024702167484,아니오
2신촌,Sinchon (Seoul Metro 2),2신촌,2신촌,3900779,910420,910420,,서울특별시 마포구 신촌로 지하 90,서울 지하철 2호선,37.5554420163312,126.936119063325,아니오
2영등포구,Yeongdeungpo Office (Seoul Metro 2),2영등포구,2영등,3900775,910365,910365,,서울특별시 영등포구 당산로 지하 121,서울 지하철 2호선,37.5256995484828,126.896626652361,아니오
2왕십리,Wangsimni (Seoul Metro 2),2왕십리,2왕십,3900790,910513,910513,,서울특별시 성동구 왕십리로 지하 300,서울 지하철 2호선,37.5612222038164,127.036655740207,아니오
2을지로3,Uljiro (Metro 3),2을지로3,2을지,3900785,910471,910471,,서울특별시 중구 을지로 지하 106,서울 지하철 2호선,37.5662657010295,126.990308280223,아니오
2홍대입구,Hongik Univ. (Seoul Metro 2),2홍대입구,2홍대,3900778,910407,910407,,서울특별시 마포구 양화로 지하 160,서울 지하철 2호선,37.556890600335,126.923674531667,아니오
